date,sentiment_mean,article_count,bullish_count,bearish_count,neutral_count,reg_article_count,sentiment_index,bullish_ratio,bearish_ratio,extreme_bullish,extreme_bearish
2026-03-24,0.0,1,0,0,1,0,0.0,0.0,0.0,0,0
2026-04-02,-0.7947737574577332,1,0,1,0,0,-0.3973868787288666,0.0,1.0,0,0
2026-04-06,0.0,1,0,0,1,0,-0.2649245858192444,0.0,0.0,0,0
2026-04-16,0.9559043049812317,1,1,0,0,0,0.05371018250783285,1.0,0.0,0,0
2026-04-17,0.17966559529304504,4,2,1,1,1,0.3785233000914256,0.5,0.25,0,0
2026-04-18,-0.06358681321144104,10,3,3,4,4,0.3573276956876119,0.3,0.3,0,0
2026-04-19,-0.14741621234200217,11,2,3,6,1,-0.010445810086799382,0.18181818181818182,0.2727272727272727,0,0
2026-04-20,-0.03486672691676928,23,8,9,6,3,-0.0819565841567375,0.34782608695652173,0.391304347826087,0,0
2026-04-21,-0.02773835477621659,23,3,5,15,6,-0.07000709801166267,0.13043478260869565,0.21739130434782608,0,0
2026-04-22,0.17159511148929596,4,1,0,3,0,0.03633000993210336,0.25,0.0,0,0
